56519	120867 440237
0	56519
0	56635
0	56740
0	57069
0	57612
0	57958
0	60498
0	62407
0	62517
0	63682
0	67316
0	75598
0	75641
0	78546
0	86566
0	89718
0	90319
0	93331
0	97194
0	101244
0	102184
0	103085
0	105823
0	107059
0	107277
0	108683
0	109584
0	111915
0	113481
0	115165
0	115401
0	115936
0	116210
0	116568
0	117173
0	123571
0	123797
0	123818
0	128687
0	128771
0	129020
0	129333
0	134045
0	141705
0	142005
0	145686
0	145739
0	146051
0	148511
0	148891
0	148941
0	149097
0	149947
0	150990
0	152580
0	154457
0	155932
0	156513
0	157762
0	158612
0	160745
0	163176
0	164763
0	166485
0	167835
0	172410
0	174429
0	174583
0	175123
0	176772
1	56520
1	56558
1	56872
1	56899
1	57013
1	58005
1	58555
1	58626
1	58679
1	58945
1	59451
1	59632
1	59947
1	60200
1	60749
1	60812
1	60900
1	62621
1	65388
1	67259
1	69716
1	72989
1	76696
1	79307
1	83333
1	92600
1	96155
1	101717
1	113801
1	118586
1	118938
1	119034
1	121809
1	124283
1	124891
1	125637
1	125724
1	129798
1	133194
1	135611
1	148955
1	149109
1	150432
1	151202
1	154110
1	157065
1	167784
1	167914
1	168894
1	171984
1	174063
1	175889
2	56521
2	56524
2	56526
2	56535
2	56576
2	56602
2	56711
2	56754
2	56800
2	56817
2	56877
2	57020
2	57030
2	57125
2	57234
2	57310
2	57339
2	57527
2	58850
2	59095
2	59827
2	73959
2	99835
2	100959
3	56522
3	56594
3	57050
3	57207
3	58481
3	58992
3	59572
3	61320
3	61500
3	62394
3	63863
3	64965
3	65705
3	66414
3	67142
3	67701
3	69861
3	70814
3	71172
3	72910
3	73022
3	73965
3	74676
3	75190
3	76746
3	77020
3	77592
3	79340
3	79725
3	80730
3	80957
3	84927
3	90004
3	91136
3	91725
3	100817
3	103609
3	105072
3	112330
3	121526
3	122657
3	129327
3	133448
3	142924
3	143946
4	56523
4	75573
5	56524
5	56526
5	56533
5	56535
5	56547
5	56576
5	56584
5	56594
5	56604
5	56615
5	56632
5	56673
5	56680
5	56705
5	56765
5	56783
5	56794
5	56798
5	56811
5	56817
5	56818
5	56870
5	56915
5	56996
5	56999
5	57076
5	57125
5	57151
5	57159
5	57163
5	57189
5	57210
5	57250
5	57256
5	57268
5	57316
5	57365
5	57370
5	57396
5	57641
5	57662
5	57697
5	57722
5	57747
5	57768
5	57823
5	57973
5	58006
5	58046
5	58064
5	58110
5	58120
5	58187
5	58268
5	58358
5	58414
5	58427
5	58502
5	58517
5	58659
5	58798
5	58807
5	58819
5	58935
5	58964
5	59075
5	59095
5	59103
5	59160
5	59440
5	59447
5	59483
5	59568
5	59689
5	59696
5	59810
5	60092
5	60258
5	60265
5	60297
5	60447
5	60591
5	60631
5	60807
5	61243
5	61406
5	61625
5	61945
5	62045
5	62050
5	62148
5	62169
5	62439
5	62443
5	62873
5	62957
5	63097
5	63356
5	63426
5	63492
5	64100
5	64250
5	64364
5	64396
5	64935
5	65154
5	65372
5	65585
5	65614
5	65713
5	65831
5	65915
5	66224
5	66511
5	66632
5	66851
5	66951
5	67556
5	68173
5	68219
5	68321
5	68573
5	68683
5	69012
5	69044
5	69148
5	69419
5	70315
5	71062
5	71278
5	71706
5	71709
5	71808
5	72866
5	72939
5	74526
5	75622
5	76070
5	76915
5	77249
5	78702
5	84378
5	84706
5	85456
5	85472
5	85646
5	86696
5	88832
5	89334
5	90134
5	90581
5	94568
5	96095
5	96306
5	98103
5	99005
5	104416
5	104891
5	111473
5	112835
5	114049
5	137424
5	146263
5	154927
5	155743
6	56525
6	56535
6	56602
6	56612
6	56615
6	56634
6	56680
6	56696
6	56699
